# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039554593366e-05       9.076245494554e+00 
       2.321625872476e-05       1.964438337477e+01 
       3.608162361189e-05       3.000938434141e+01 
       4.902593216740e-05       4.028973681877e+01 
       6.208403777342e-05       5.055170104699e+01 
       7.529166351078e-05       6.084422554638e+01 
       8.868571980328e-05       7.120871081670e+01 
       1.023046360059e-04       8.168298297550e+01 
       1.161887101575e-04       9.230331707890e+01 
       1.303804811523e-04       1.031056487498e+02 
       1.449251275914e-04       1.141264044196e+02 
       1.598708975225e-04       1.254031387399e+02 
       1.752695731100e-04       1.369750719999e+02 
       1.911769739295e-04       1.488835739576e+02 
       2.076535019659e-04       1.611726252736e+02 
       2.247647303764e-04       1.738892687141e+02 
       2.425820365134e-04       1.870840610450e+02 
       2.611832773708e-04       2.008115268630e+02 
       2.806535022682e-04       2.151306117822e+02 
       3.010856929055e-04       2.301051293736e+02 
       3.225815145524e-04       2.458041872554e+02 
       3.452520536855e-04       2.623025721042e+02 
       3.692185065006e-04       2.796810664392e+02 
       3.946127691316e-04       2.980266567535e+02 
       4.215778641091e-04       3.174325843135e+02 
       4.502681190242e-04       3.379981760218e+02 
       4.808489937476e-04       3.598283793256e+02 
       5.134964341804e-04       3.830329183138e+02 
       5.483956171584e-04       4.077249814575e+02 
       5.857389482102e-04       4.340193519349e+02 
       6.257231883267e-04       4.620299241240e+02 
       6.685456253480e-04       4.918665660788e+02 
       7.143992765011e-04       5.236313715837e+02 
       7.634672135018e-04       5.574144117263e+02 
       8.159162353344e-04       5.932892084412e+02 
       8.718902605670e-04       6.313082440136e+02 
       9.315039436829e-04       6.714988993391e+02 
       9.948371036618e-04       7.138602666237e+02 
       1.061930554494e-03       7.583612068939e+02 
       1.132783826807e-03       8.049399705768e+02 
       1.207355072330e-03       8.535054423807e+02 
       1.285563181864e-03       9.039399769276e+02 
       1.367291876660e-03       9.561011030294e+02 
       1.452395310759e-03       1.009828419249e+03 
       1.540704590804e-03       1.064956653887e+03 
       1.632034595892e-03       1.121309049143e+03 
       1.726190550459e-03       1.178706880994e+03 
       1.822973935770e-03       1.236973696284e+03 
       1.922187482213e-03       1.295938805105e+03 
       2.023639132649e-03       1.355439932726e+03 
       2.127144985949e-03       1.415325133682e+03 
       2.232531311321e-03       1.475453944341e+03 
       2.339635769667e-03       1.535697894415e+03 
       2.448307994782e-03       1.595940814260e+03 
       2.558409683680e-03       1.656077973688e+03 
       2.669814329643e-03       1.716016073979e+03 
       2.782406710372e-03       1.775672314271e+03 
       2.896082221162e-03       1.834973767056e+03 
       3.010746122088e-03       1.893854632850e+03 
       3.126312750042e-03       1.952259726777e+03 
       3.242704731602e-03       2.010139678047e+03 
       3.359852221003e-03       2.067451498393e+03 
       3.477692178583e-03       2.124158611470e+03 
       3.596167698542e-03       2.180229045760e+03 
       3.715227390163e-03       2.235636181376e+03 
       3.834824813398e-03       2.290356419396e+03 
       3.954917967587e-03       2.344370582380e+03 
       4.075468830736e-03       2.397662292359e+03 
       4.196442945959e-03       2.450217519172e+03 
       4.317809051348e-03       2.502025582405e+03 
       4.439538749395e-03       2.553077748277e+03 
       4.561606212177e-03       2.603366798494e+03 
       4.683987918652e-03       2.652887598728e+03 
       4.806662420714e-03       2.701636472454e+03 
       4.929610134858e-03       2.749611230841e+03 
       5.052813156653e-03       2.796810801827e+03 
       5.176255095446e-03       2.843235925983e+03 
       5.299920927018e-03       2.888887082032e+03 
       5.423796862150e-03       2.933764922894e+03 
       5.547870229274e-03       2.977874833525e+03 
       5.672129369620e-03       3.021217800777e+03 
       5.796563543411e-03       3.063798671733e+03 
       5.921162845873e-03       3.105621537451e+03 
       6.045918131938e-03       3.146692184516e+03 
       6.170820948655e-03       3.187013470052e+03 
       6.295863474469e-03       3.226592403243e+03 
       6.421038464583e-03       3.265433439471e+03 
       6.546339201744e-03       3.303542791038e+03 
       6.671759451864e-03       3.340927435110e+03 
       6.797293423941e-03       3.377592706293e+03 
       6.922935733829e-03       3.413543754971e+03 
       7.048681371440e-03       3.448789786267e+03 
       7.174525671028e-03       3.483333667232e+03 
       7.300464284221e-03       3.517188424695e+03 
       7.426493155525e-03       3.550352791191e+03 
       7.552608500044e-03       3.582919593184e+03 
       7.678806783202e-03       3.614787636620e+03 
       7.805084702251e-03       3.645923106784e+03 
       7.931439169404e-03       3.676401421793e+03 
       8.057867296419e-03       3.706226805016e+03 
       8.184366380511e-03       3.735412714719e+03 
       8.310933891452e-03       3.763960263812e+03 
       8.437567459747e-03       3.791879025503e+03 
       8.564264865796e-03       3.819170481382e+03 
       8.691024029938e-03       3.845844999120e+03 
       8.817843003303e-03       3.871907886249e+03 
       8.944719959402e-03       3.897367490967e+03 
       9.071653186381e-03       3.922227147973e+03 
       9.198641079881e-03       3.946497741428e+03 
       9.325682136463e-03       3.970184133430e+03 
       9.452774947534e-03       3.993291866216e+03 
       9.579918193735e-03       4.015830562988e+03 
       9.707110639761e-03       4.037802491166e+03 
