# Matter power spectrum P(k) at redshift z=3.2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039554593366e-05       4.710452252169e+00 
       2.321625872476e-05       1.019518485498e+01 
       3.608162361189e-05       1.557450789034e+01 
       4.902593216740e-05       2.090992618713e+01 
       6.208403777342e-05       2.623583621067e+01 
       7.529166351078e-05       3.157765272968e+01 
       8.868571980328e-05       3.695687311845e+01 
       1.023046360059e-04       4.239314121519e+01 
       1.161887101575e-04       4.790529741077e+01 
       1.303804811523e-04       5.351200793701e+01 
       1.449251275914e-04       5.923219626582e+01 
       1.598708975225e-04       6.508537434473e+01 
       1.752695731100e-04       7.109192200873e+01 
       1.911769739295e-04       7.727333910010e+01 
       2.076535019659e-04       8.365248555482e+01 
       2.247647303764e-04       9.025381670815e+01 
       2.425820365134e-04       9.710361908054e+01 
       2.611832773708e-04       1.042302472696e+02 
       2.806535022682e-04       1.116643608619e+02 
       3.010856929055e-04       1.194391585299e+02 
       3.225815145524e-04       1.275906013833e+02 
       3.452520536855e-04       1.361576152989e+02 
       3.692185065006e-04       1.451822584831e+02 
       3.946127691316e-04       1.547098326062e+02 
       4.215778641091e-04       1.647889123064e+02 
       4.502681190242e-04       1.754712609224e+02 
       4.808489937476e-04       1.868115915179e+02 
       5.134964341804e-04       1.988671308295e+02 
       5.483956171584e-04       2.116969378598e+02 
       5.857389482102e-04       2.253609308022e+02 
       6.257231883267e-04       2.399185909345e+02 
       6.685456253480e-04       2.554273217513e+02 
       7.143992765011e-04       2.719404849712e+02 
       7.634672135018e-04       2.895051689029e+02 
       8.159162353344e-04       3.081598063175e+02 
       8.718902605670e-04       3.279318055597e+02 
       9.315039436829e-04       3.488354044284e+02 
       9.948371036618e-04       3.708699839057e+02 
       1.061930554494e-03       3.940190428251e+02 
       1.132783826807e-03       4.182500067976e+02 
       1.207355072330e-03       4.435149085207e+02 
       1.285563181864e-03       4.697519226557e+02 
       1.367291876660e-03       4.968863325457e+02 
       1.452395310759e-03       5.248342022445e+02 
       1.540704590804e-03       5.535092370975e+02 
       1.632034595892e-03       5.828193900431e+02 
       1.726190550459e-03       6.126718062498e+02 
       1.822973935770e-03       6.429749808270e+02 
       1.922187482213e-03       6.736404956684e+02 
       2.023639132649e-03       7.045843058670e+02 
       2.127144985949e-03       7.357276547416e+02 
       2.232531311321e-03       7.669976306348e+02 
       2.339635769667e-03       7.983274270299e+02 
       2.448307994782e-03       8.296565370216e+02 
       2.558409683680e-03       8.609303486574e+02 
       2.669814329643e-03       8.921002314312e+02 
       2.782406710372e-03       9.231230658361e+02 
       2.896082221162e-03       9.539608986686e+02 
       3.010746122088e-03       9.845797279110e+02 
       3.126312750042e-03       1.014950828778e+03 
       3.242704731602e-03       1.045048679705e+03 
       3.359852221003e-03       1.074850994259e+03 
       3.477692178583e-03       1.104338776413e+03 
       3.596167698542e-03       1.133495385452e+03 
       3.715227390163e-03       1.162306942807e+03 
       3.834824813398e-03       1.190761145131e+03 
       3.954917967587e-03       1.218848007037e+03 
       4.075468830736e-03       1.246559024211e+03 
       4.196442945959e-03       1.273886934062e+03 
       4.317809051348e-03       1.300826252526e+03 
       4.439538749395e-03       1.327372396161e+03 
