# Matter power spectrum P(k) at redshift z=2.4
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039554593366e-05       7.126869828448e+00 
       2.321625872476e-05       1.542521115549e+01 
       3.608162361189e-05       2.356405357539e+01 
       4.902593216740e-05       3.163644306116e+01 
       6.208403777342e-05       3.969441319538e+01 
       7.529166351078e-05       4.777640569357e+01 
       8.868571980328e-05       5.591493525598e+01 
       1.023046360059e-04       6.413971084129e+01 
       1.161887101575e-04       7.247922420453e+01 
       1.303804811523e-04       8.096170169784e+01 
       1.449251275914e-04       8.961575666659e+01 
       1.598708975225e-04       9.847088966976e+01 
       1.752695731100e-04       1.075579112795e+02 
       1.911769739295e-04       1.169093221928e+02 
       2.076535019659e-04       1.265596760048e+02 
       2.247647303764e-04       1.365459342698e+02 
       2.425820365134e-04       1.469078217084e+02 
       2.611832773708e-04       1.576881835044e+02 
       2.806535022682e-04       1.689333421069e+02 
       3.010856929055e-04       1.806934490386e+02 
       3.225815145524e-04       1.930228208932e+02 
       3.452520536855e-04       2.059802428236e+02 
       3.692185065006e-04       2.196292188201e+02 
       3.946127691316e-04       2.340381368096e+02 
       4.215778641091e-04       2.492803099198e+02 
       4.502681190242e-04       2.654338452616e+02 
       4.808489937476e-04       2.825812796646e+02 
       5.134964341804e-04       3.008089174121e+02 
       5.483956171584e-04       3.202057990438e+02 
       5.857389482102e-04       3.408622307888e+02 
       6.257231883267e-04       3.628678295882e+02 
       6.685456253480e-04       3.863090516434e+02 
       7.143992765011e-04       4.112662381332e+02 
       7.634672135018e-04       4.378102642173e+02 
       8.159162353344e-04       4.659989669089e+02 
       8.718902605670e-04       4.958735996087e+02 
       9.315039436829e-04       5.274556248025e+02 
       9.948371036618e-04       5.607441990282e+02 
       1.061930554494e-03       5.957146453282e+02 
       1.132783826807e-03       6.323181667107e+02 
       1.207355072330e-03       6.704828509346e+02 
       1.285563181864e-03       7.101159380393e+02 
       1.367291876660e-03       7.511052046475e+02 
       1.452395310759e-03       7.933244250877e+02 
       1.540704590804e-03       8.366436582477e+02 
       1.632034595892e-03       8.809240562345e+02 
       1.726190550459e-03       9.260253224435e+02 
       1.822973935770e-03       9.718089955755e+02 
       1.922187482213e-03       1.018141143387e+03 
       2.023639132649e-03       1.064894396368e+03 
       2.127144985949e-03       1.111949426188e+03 
       2.232531311321e-03       1.159195845995e+03 
       2.339635769667e-03       1.206532639307e+03 
       2.448307994782e-03       1.253868438009e+03 
       2.558409683680e-03       1.301120876666e+03 
       2.669814329643e-03       1.348216628092e+03 
       2.782406710372e-03       1.395090661195e+03 
       2.896082221162e-03       1.441685722029e+03 
       3.010746122088e-03       1.487950243619e+03 
       3.126312750042e-03       1.533840871065e+03 
       3.242704731602e-03       1.579318858044e+03 
       3.359852221003e-03       1.624350420120e+03 
       3.477692178583e-03       1.668906787630e+03 
       3.596167698542e-03       1.712962805452e+03 
       3.715227390163e-03       1.756497536415e+03 
       3.834824813398e-03       1.799492442060e+03 
       3.954917967587e-03       1.841932479011e+03 
       4.075468830736e-03       1.883804813524e+03 
       4.196442945959e-03       1.925098454027e+03 
       4.317809051348e-03       1.965805037416e+03 
       4.439538749395e-03       2.005917667506e+03 
       4.561606212177e-03       2.045430692979e+03 
       4.683987918652e-03       2.084340051775e+03 
       4.806662420714e-03       2.122642836504e+03 
       4.929610134858e-03       2.160337351212e+03 
       5.052813156653e-03       2.197422716820e+03 
       5.176255095446e-03       2.233899591702e+03 
       5.299920927018e-03       2.269768348491e+03 
       5.423796862150e-03       2.305029511071e+03 
       5.547870229274e-03       2.339687277634e+03 
       5.672129369620e-03       2.373742428388e+03 
